City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
429,Panama City,PA,76.28,scattered clouds,8.9936,-79.5197,Trump International Hotel & Tower Panama
437,Altay,CN,76.6,scattered clouds,47.8667,88.1167,Jinqiao Hotel
441,Rosetta,EG,79.16,clear sky,31.4044,30.4164,Green Valley
447,Pandan Niog,PH,83.79,broken clouds,6.2282,120.5631,
451,Honiara,SB,83.57,scattered clouds,-9.4333,159.95,Heritage Park Hotel
452,Agadir,MA,79.48,broken clouds,30.4202,-9.5982,Iberostar Founty Beach
453,Mount Isa,AU,83.97,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
454,Kahului,US,80.62,few clouds,20.8947,-156.47,Maui Seaside Hotel
457,Juye,CN,88.18,clear sky,35.3947,116.0883,Thank Inn Chain Hotel shandong heze juye county shanghai jiayuan
459,Vanimo,PG,85.01,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
460,Adrar,MR,85.93,few clouds,20.5022,-10.0711,
461,Tessaoua,NE,82.33,overcast clouds,13.7574,7.9874,Benin Dan Kaabou Heberge
464,Tahoua,NE,78.62,overcast clouds,14.8888,5.2692,Bungalows Guesthouse
469,Pemba,MZ,77.7,few clouds,-12.974,40.5178,Guesthouse Samotina
471,Oussouye,SN,76.71,moderate rain,12.485,-16.5469,Auberge du Routard
472,Asfi,MA,75.27,broken clouds,32.2994,-9.2372,Hôtel Abda
474,Dharmavaram,IN,83.91,broken clouds,14.4333,77.7167,BALAJI LODGE
476,Kushmurun,KZ,75.67,scattered clouds,52.4503,64.6311,Gostinitsa Pri Depo
480,Coro,VE,75.36,clear sky,11.4045,-69.6734,Federal
481,Clearwater,US,80.08,clear sky,27.9659,-82.8001,Residence Inn by Marriott Clearwater Downtown
482,Dakar,SN,79.36,light rain,14.6937,-17.4441,Novotel Dakar
483,Kawalu,ID,76.66,overcast clouds,-7.3817,108.2082,West Jontor
484,Ramsar,IR,78.57,scattered clouds,36.9226,50.6426,Rasa Residential Hotel
488,Sal Rei,CV,76.6,heavy intensity rain,16.1833,-22.9167,Marine Club Beach Resort
489,Puerto Penasco,MX,85.91,scattered clouds,31.3167,-113.5333,Playa Bonita Resort
494,Jaque,PA,77.31,overcast clouds,7.5175,-78.1703,Aventuras Jaque S.A
495,Harindanga,IN,82.94,light rain,22.0383,88.3214,Hasanur Builders
500,Grants Pass,US,76.51,clear sky,42.439,-123.3284,Shilo Inns Grants Pass
502,Mahon,ES,77.56,clear sky,39.8885,4.2658,ARTIEM Capri
503,Bud,US,78.78,broken clouds,39.447,-86.1758,Ted McQuinn Trust
506,Khor,RU,76.64,broken clouds,47.8861,134.9464,Gostinitsa Deksi
507,Acajutla,SV,78.13,light rain,13.5928,-89.8275,Laureles
508,Sabha,LY,75.38,clear sky,27.0377,14.4283,محطة ام الارانب -سبها مواصلات
509,Nongpoh,IN,80.17,overcast clouds,25.9,91.8833,Bei sumer cottage
511,San Patricio,US,85.84,scattered clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
512,The Valley,AI,79.11,clear sky,18.217,-63.0578,CeBlue Villas & Beach Resort
515,Bandarbeyla,SO,81.91,scattered clouds,9.4942,50.8122,JABIR HOTEL
517,Fukue,JP,82.76,broken clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
518,Piney Green,US,80.91,clear sky,34.716,-77.3202,Holiday City MHC
521,Portobelo,PA,78.12,overcast clouds,9.55,-79.65,Scuba Portobelo
522,Smidovich,RU,75.94,few clouds,48.6,133.8167,Gostinnitsa
524,Jackson,US,75.07,clear sky,42.4165,-122.8345,Agate Village Apartments
529,Fengzhen,CN,88.0,broken clouds,40.4394,113.1536,Feng Zhen Hotel
