City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather
180,Luchow,DE,52.9667,11.15,67.73,53,98,7.05,overcast clouds
181,San Carlos De Bariloche,AR,-41.1456,-71.3082,37.24,93,100,9.22,light intensity drizzle
182,Gerede,TR,40.8008,32.1969,50.23,69,0,3.49,clear sky
183,Seydi,TM,39.4816,62.9137,94.96,19,1,12.71,clear sky
184,Katsuura,JP,35.1333,140.3,82.92,82,100,12.55,overcast clouds
185,Ihosy,MG,-22.4,46.1167,58.41,90,77,4.94,broken clouds
186,Butaritari,KI,3.0707,172.7902,82.56,70,14,19.75,few clouds
187,Pacific Grove,US,36.6177,-121.9166,58.24,89,100,10.36,overcast clouds
188,Yakima,US,46.4665,-120.6678,92.28,28,0,5.01,clear sky
189,Kapaa,US,22.0752,-159.319,84.18,69,20,14.97,few clouds
190,Banepa,NP,27.6298,85.5214,71.92,83,75,2.3,broken clouds
191,Mago,RU,53.2514,140.1822,82.87,49,52,7.65,broken clouds
192,Kutina,HR,45.475,16.7819,64.08,63,0,0.22,clear sky
193,Saint Andrews,US,34.0454,-81.1293,77.45,79,0,3.44,clear sky
194,Bengkulu,ID,-3.8004,102.2655,79.48,86,98,6.82,light rain
195,Jalu,LY,29.0331,21.5482,77.68,41,0,6.55,clear sky
196,Naron,ES,43.5167,-8.1528,66.02,99,91,5.14,overcast clouds
197,Udachnyy,RU,66.4167,112.4,73.29,70,100,14.03,light rain
198,Asfi,MA,32.2994,-9.2372,77.07,65,73,11.68,broken clouds
199,Cayenne,GF,4.9333,-52.3333,83.08,1,40,0.0,scattered clouds
200,Cherkasskoye,RU,52.4333,47.2167,65.12,81,75,2.89,broken clouds
201,Urumqi,CN,43.801,87.6005,79.75,39,0,8.95,clear sky
202,Rio Grande,BR,-32.035,-52.0986,58.95,99,95,4.65,overcast clouds
203,Lasa,IT,46.6166,10.7002,64.36,92,1,2.21,clear sky
204,Poum,NC,-20.2333,164.0167,75.15,64,0,14.74,clear sky
205,Raga,SS,8.4596,25.678,69.1,95,100,3.8,overcast clouds
206,Excelsior Springs,US,39.3392,-94.2261,78.67,94,0,3.44,clear sky
207,Kenai,US,60.5544,-151.2583,66.29,57,100,4.61,overcast clouds
208,Nalut,LY,30.3333,10.85,76.84,29,0,9.89,clear sky
209,Oksfjord,NO,70.2396,22.3479,51.98,81,72,5.88,broken clouds
210,Edson,CA,53.5835,-116.4356,60.69,71,100,1.61,overcast clouds
211,Norman Wells,CA,65.282,-126.8329,69.28,44,84,1.63,broken clouds
212,Broome,US,42.2506,-75.833,75.58,83,75,8.05,broken clouds
213,Asyut,EG,27.181,31.1837,79.54,34,12,7.4,few clouds
214,San Vicente,AR,-26.6167,-54.1333,61.41,81,5,2.66,clear sky
215,Ahipara,NZ,-35.1667,173.1667,63.16,95,97,19.08,overcast clouds
216,Ulaangom,MN,49.9811,92.0667,71.1,35,7,11.41,clear sky
217,Batasan,PH,12.7667,120.7833,85.14,71,91,5.77,overcast clouds
218,Riyadh,SA,24.6877,46.7219,91.54,18,78,10.02,broken clouds
219,Cloquet,US,46.7216,-92.4594,57.88,75,6,4.61,clear sky
220,Encheng,CN,22.1839,112.3026,94.96,59,6,1.83,clear sky
221,Voi,KE,-3.3945,38.563,65.07,85,69,8.32,broken clouds
222,Ixtapa,MX,20.7,-105.2,79.23,94,75,4.61,broken clouds
223,San Rafael,AR,-34.6177,-68.3301,52.05,84,100,7.67,overcast clouds
224,Svit,SK,49.0601,20.2069,47.98,87,0,4.61,clear sky
225,Tel Aviv-Yafo,IL,32.0805,34.7805,78.21,86,75,8.05,broken clouds
226,Bilma,NE,18.6853,12.9164,89.4,17,19,17.63,few clouds
227,Tenjo,CO,4.8727,-74.1443,55.13,94,75,4.61,drizzle
228,Constitucion,CL,-35.3333,-72.4167,52.81,94,100,9.37,light rain
229,Ancud,CL,-41.8697,-73.8203,46.22,94,97,8.3,overcast clouds
230,Matara,LK,5.9485,80.5353,81.81,77,84,14.74,broken clouds
231,Hobyo,SO,5.3505,48.5268,74.53,82,42,20.36,scattered clouds
232,Vanimo,PG,-2.6741,141.3028,84.33,73,60,7.7,broken clouds
233,Panaba,MX,21.2833,-88.2667,78.53,85,100,9.06,overcast clouds
234,Maceio,BR,-9.6658,-35.7353,71.04,88,40,4.61,scattered clouds
235,Bridlington,GB,54.0831,-0.1919,63.9,85,100,15.3,overcast clouds
